prompt,name,problem_type,language,parallelism_model,temperature,top_p,do_sample,max_new_tokens,prompted,generated_output,did_build,is_source_valid,best_sequential_runtime,output_idx,run_idx,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times,did_run,is_valid,runtime,num_threads
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false, std::bit_xor<bool>{});\n}",True,True,0.0099934836,0,0.0,N/A,,,,,11.443052053451538,True,True,0.0128591214,1.0
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false, std::bit_xor<bool>{});\n}",True,True,0.0099934836,0,1.0,N/A,,,,,11.443052053451538,True,True,0.0065767236,2.0
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false, std::bit_xor<bool>{});\n}",True,True,0.0099934836,0,2.0,N/A,,,,,11.443052053451538,True,True,0.0033535408,4.0
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false, std::bit_xor<bool>{});\n}",True,True,0.0099934836,0,3.0,N/A,,,,,11.443052053451538,True,True,0.001842844,8.0
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false, std::bit_xor<bool>{});\n}",True,True,0.0099934836,0,4.0,N/A,,,,,11.443052053451538,True,True,0.001113117,16.0
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false,\n                       [](bool a, bool b) { return a != b; });\n}",True,True,0.0099934492,1,0.0,N/A,,,,,9.283079624176025,True,True,0.012874211,1.0
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false,\n                       [](bool a, bool b) { return a != b; });\n}",True,True,0.0099934492,1,1.0,N/A,,,,,9.283079624176025,True,True,0.0066065126,2.0
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false,\n                       [](bool a, bool b) { return a != b; });\n}",True,True,0.0099934492,1,2.0,N/A,,,,,9.283079624176025,True,True,0.0033820122,4.0
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false,\n                       [](bool a, bool b) { return a != b; });\n}",True,True,0.0099934492,1,3.0,N/A,,,,,9.283079624176025,True,True,0.0018898358,8.0
"#include <hpx/hpx_main.hpp>\n\n/* Return the logical XOR reduction of the vector of bools x.\n   Use HPX to reduce in parallel.  Assume HPX has already been initialized.\n   Example:\n\n   input: [false, false, false, true]\n   output: true\n*/\nbool reduceLogicalXOR(std::vector<bool> const& x) {",25_reduce_xor,reduce,cpp,hpx,0.2,0.95,True,2048,False,"bool reduceLogicalXOR(std::vector<bool> const& x) {\n    return hpx::reduce(hpx::execution::par, x.begin(), x.end(), false,\n                       [](bool a, bool b) { return a != b; });\n}",True,True,0.0099934492,1,4.0,N/A,,,,,9.283079624176025,True,True,0.0010959806,16.0
